label,germ_index,prep_fiducial_index,meas_fiducial_index
random_4,0,11,2
random_4,0,6,7
random_4,1,12,6
random_4,1,12,7
random_4,1,7,6
random_4,1,5,8
random_4,2,8,5
random_4,2,10,9
random_4,2,12,5
random_4,2,6,5
random_4,3,7,3
random_4,3,15,3
random_4,3,11,9
random_4,3,6,3
random_4,4,2,2
random_4,4,10,10
random_4,4,2,9
random_4,4,10,5
random_4,5,14,2
random_4,5,7,7
random_4,5,3,6
random_4,5,8,9
random_4,6,4,6
random_4,6,6,5
random_4,6,14,10
random_4,6,5,7
random_4,7,14,3
random_4,7,5,3
random_4,7,2,3
random_4,7,11,7
random_4,8,12,6
random_4,8,12,7
random_4,8,7,4
random_4,8,14,7
random_4,9,11,3
random_4,9,3,3
random_4,9,5,7
random_4,9,7,3
random_4,10,4,7
random_4,10,3,6
random_4,10,9,7
random_4,10,13,6
random_4,11,6,8
random_4,11,3,5
random_4,11,13,7
random_4,11,0,7
random_4,12,12,8
random_4,12,15,8
random_4,12,3,9
random_4,12,8,10
random_4,13,10,10
random_4,13,11,6
random_4,13,14,9
random_4,13,7,6
random_4,14,12,10
random_4,14,10,10
random_4,14,10,7
random_4,14,5,9
random_5,0,12,7
random_5,0,8,7
random_5,0,3,3
random_5,0,6,8
random_5,1,15,6
random_5,1,7,6
random_5,1,12,6
random_5,1,5,6
random_5,2,8,5
random_5,2,8,10
random_5,2,5,9
random_5,2,8,9
random_5,3,7,3
random_5,3,3,3
random_5,3,5,3
random_5,3,15,7
random_5,4,10,10
random_5,4,6,10
random_5,4,2,9
random_5,4,10,7
random_5,5,6,2
random_5,5,15,6
random_5,5,5,9
random_5,5,7,9
random_5,6,5,6
random_5,6,8,6
random_5,6,8,7
random_5,6,14,6
random_5,7,3,3
random_5,7,3,7
random_5,7,14,3
random_5,7,3,10
random_5,8,15,6
random_5,8,3,6
random_5,8,12,7
random_5,8,8,6
random_5,9,3,3
random_5,9,1,1
random_5,9,7,9
random_5,9,11,10
random_5,10,12,6
random_5,10,12,7
random_5,10,4,6
random_5,10,10,6
random_5,11,0,6
random_5,11,12,7
random_5,11,1,1
random_5,11,14,3
random_5,12,15,3
random_5,12,6,3
random_5,12,12,3
random_5,12,3,3
random_5,13,14,9
random_5,13,5,9
random_5,13,15,7
random_5,13,7,9
random_5,14,7,6
random_5,14,3,6
random_5,14,7,8
random_5,14,2,10
random_6,0,13,5
random_6,0,12,6
random_6,0,11,6
random_6,0,4,8
random_6,1,15,6
random_6,1,13,8
random_6,1,9,6
random_6,1,15,7
random_6,2,8,5
random_6,2,7,10
random_6,2,10,9
random_6,2,7,5
random_6,3,3,3
random_6,3,15,3
random_6,3,1,3
random_6,3,11,9
random_6,4,2,2
random_6,4,14,3
random_6,4,10,10
random_6,4,6,9
random_6,5,15,6
random_6,5,13,6
random_6,5,6,7
random_6,5,14,9
random_6,6,15,6
random_6,6,13,6
random_6,6,8,6
random_6,6,13,9
random_6,7,2,3
random_6,7,15,7
random_6,7,3,3
random_6,7,15,2
random_6,8,12,6
random_6,8,11,6
random_6,8,15,9
random_6,8,10,6
random_6,9,13,1
random_6,9,3,3
random_6,9,8,3
random_6,9,6,3
random_6,10,15,6
random_6,10,12,5
random_6,10,14,6
random_6,10,14,10
random_6,11,15,7
random_6,11,5,9
random_6,11,12,8
random_6,11,11,6
random_6,12,13,3
random_6,12,13,9
random_6,12,7,3
random_6,12,11,7
random_6,13,15,8
random_6,13,9,10
random_6,13,7,6
random_6,13,15,9
random_6,14,13,2
random_6,14,6,7
random_6,14,5,3
random_6,14,11,3
random_7,0,9,9
random_7,0,3,7
random_7,0,9,8
random_7,0,1,10
random_7,1,14,6
random_7,1,12,6
random_7,1,14,7
random_7,1,11,6
random_7,2,6,9
random_7,2,9,9
random_7,2,5,5
random_7,2,12,10
random_7,3,3,3
random_7,3,11,3
random_7,3,3,9
random_7,3,11,8
random_7,4,14,8
random_7,4,14,2
random_7,4,2,2
random_7,4,1,2
random_7,5,11,8
random_7,5,14,2
random_7,5,9,10
random_7,5,12,4
random_7,6,12,6
random_7,6,7,6
random_7,6,1,9
random_7,6,9,6
random_7,7,3,3
random_7,7,3,7
random_7,7,11,3
random_7,7,11,9
random_7,8,14,6
random_7,8,12,7
random_7,8,11,6
random_7,8,14,7
random_7,9,3,3
random_7,9,3,8
random_7,9,3,5
random_7,9,15,8
random_7,10,14,8
random_7,10,5,7
random_7,10,7,6
random_7,10,1,7
random_7,11,1,6
random_7,11,7,7
random_7,11,1,7
random_7,11,9,8
random_7,12,11,3
random_7,12,14,7
random_7,12,11,9
random_7,12,8,3
random_7,13,5,9
random_7,13,10,10
random_7,13,7,10
random_7,13,11,1
random_7,14,6,9
random_7,14,14,3
random_7,14,3,6
random_7,14,4,7
random_8,0,15,9
random_8,0,4,10
random_8,0,14,10
random_8,0,8,3
random_8,1,12,6
random_8,1,10,6
random_8,1,15,6
random_8,1,7,6
random_8,2,8,9
random_8,2,14,9
random_8,2,5,9
random_8,2,7,9
random_8,3,15,3
random_8,3,3,3
random_8,3,7,9
random_8,3,7,8
random_8,4,14,2
random_8,4,6,9
random_8,4,2,2
random_8,4,2,6
random_8,5,11,9
random_8,5,15,6
random_8,5,5,10
random_8,5,3,2
random_8,6,15,6
random_8,6,8,6
random_8,6,14,7
random_8,6,12,6
random_8,7,14,3
random_8,7,7,9
random_8,7,10,9
random_8,7,7,3
random_8,8,12,6
random_8,8,15,6
random_8,8,6,8
random_8,8,8,7
random_8,9,11,3
random_8,9,7,9
random_8,9,5,1
random_8,9,14,3
random_8,10,13,6
random_8,10,15,7
random_8,10,14,6
random_8,10,15,6
random_8,11,15,7
random_8,11,14,10
random_8,11,7,8
random_8,11,8,1
random_8,12,12,8
random_8,12,11,8
random_8,12,7,2
random_8,12,12,3
random_8,13,8,10
random_8,13,15,10
random_8,13,9,9
random_8,13,13,8
random_8,14,5,10
random_8,14,8,4
random_8,14,13,2
random_8,14,2,6
random_9,0,10,10
random_9,0,3,9
random_9,0,15,6
random_9,0,5,2
random_9,1,12,6
random_9,1,9,6
random_9,1,6,6
random_9,1,13,6
random_9,2,9,9
random_9,2,3,10
random_9,2,9,10
random_9,2,8,9
random_9,3,7,3
random_9,3,1,3
random_9,3,11,10
random_9,3,3,5
random_9,4,10,8
random_9,4,14,2
random_9,4,3,2
random_9,4,15,2
random_9,5,6,2
random_9,5,13,9
random_9,5,15,6
random_9,5,5,4
random_9,6,7,6
random_9,6,8,6
random_9,6,4,10
random_9,6,11,9
random_9,7,2,3
random_9,7,5,3
random_9,7,14,3
random_9,7,14,9
random_9,8,9,6
random_9,8,6,6
random_9,8,12,4
random_9,8,15,7
random_9,9,2,3
random_9,9,15,9
random_9,9,13,1
random_9,9,10,4
random_9,10,11,6
random_9,10,15,6
random_9,10,9,7
random_9,10,15,4
random_9,11,15,8
random_9,11,9,6
random_9,11,6,10
random_9,11,1,8
random_9,12,15,3
random_9,12,15,8
random_9,12,9,10
random_9,12,11,10
random_9,13,15,10
random_9,13,6,10
random_9,13,11,6
random_9,13,13,10
random_9,14,13,8
random_9,14,10,8
random_9,14,11,8
random_9,14,12,3
random_10,0,4,9
random_10,0,15,6
random_10,0,11,10
random_10,0,4,3
random_10,1,15,6
random_10,1,14,8
random_10,1,13,6
random_10,1,14,7
random_10,2,9,10
random_10,2,7,10
random_10,2,8,9
random_10,2,14,10
random_10,3,3,3
random_10,3,11,3
random_10,3,13,3
random_10,3,1,3
random_10,4,2,2
random_10,4,14,2
random_10,4,2,7
random_10,4,10,10
random_10,5,5,4
random_10,5,2,2
random_10,5,13,5
random_10,5,4,1
random_10,6,3,6
random_10,6,14,7
random_10,6,7,10
random_10,6,5,8
random_10,7,3,3
random_10,7,6,3
random_10,7,15,3
random_10,7,9,8
random_10,8,14,6
random_10,8,3,6
random_10,8,14,7
random_10,8,15,4
random_10,9,3,3
random_10,9,15,2
random_10,9,3,4
random_10,9,8,3
random_10,10,1,6
random_10,10,14,6
random_10,10,3,7
random_10,10,15,10
random_10,11,5,8
random_10,11,15,8
random_10,11,3,9
random_10,11,0,2
random_10,12,15,8
random_10,12,2,8
random_10,12,15,1
random_10,12,3,10
random_10,13,14,10
random_10,13,1,2
random_10,13,11,8
random_10,13,8,5
random_10,14,5,8
random_10,14,14,8
random_10,14,15,6
random_10,14,12,3
